epoch: 58, step: 3046, time: 25.2, train: 1.282, valid: 1.731, train_acc: 0.950, valid_acc: 0.878
epoch: 59, step: 3099, time: 24.8, train: 1.303, valid: 1.696, train_acc: 0.945, valid_acc: 0.881
epoch: 60, step: 3151, time: 23.7, train: 1.290, valid: 1.638, train_acc: 0.949, valid_acc: 0.888
epoch: 61, step: 3203, time: 23.8, train: 1.291, valid: 1.743, train_acc: 0.949, valid_acc: 0.878
epoch: 62, step: 3256, time: 24.3, train: 1.281, valid: 1.689, train_acc: 0.950, valid_acc: 0.882
epoch: 63, step: 3308, time: 23.4, train: 1.289, valid: 1.647, train_acc: 0.948, valid_acc: 0.889
epoch: 64, step: 3361, time: 23.3, train: 1.282, valid: 1.662, train_acc: 0.950, valid_acc: 0.886
epoch: 65, step: 3413, time: 25.3, train: 1.294, valid: 1.670, train_acc: 0.947, valid_acc: 0.885
epoch: 66, step: 3466, time: 23.3, train: 1.280, valid: 1.665, train_acc: 0.951, valid_acc: 0.884
epoch: 67, step: 3518, time: 22.8, train: 1.306, valid: 1.607, train_acc: 0.944, valid_acc: 0.897
epoch: 68, step: 3572, time: 25.4, train: 1.273, valid: 1.593, train_acc: 0.953, valid_acc: 0.899
epoch: 69, step: 3624, time: 23.0, train: 1.264, valid: 1.669, train_acc: 0.955, valid_acc: 0.889
epoch: 70, step: 3676, time: 24.1, train: 1.281, valid: 1.589, train_acc: 0.951, valid_acc: 0.897
epoch: 71, step: 3728, time: 23.0, train: 1.276, valid: 1.671, train_acc: 0.952, valid_acc: 0.885
epoch: 72, step: 3781, time: 24.3, train: 1.269, valid: 1.696, train_acc: 0.954, valid_acc: 0.883
epoch: 73, step: 3833, time: 25.7, train: 1.290, valid: 1.681, train_acc: 0.948, valid_acc: 0.890
epoch: 74, step: 3885, time: 22.8, train: 1.303, valid: 1.723, train_acc: 0.945, valid_acc: 0.878
epoch: 75, step: 3937, time: 22.9, train: 1.264, valid: 1.563, train_acc: 0.955, valid_acc: 0.903
epoch: 76, step: 3990, time: 26.4, train: 1.260, valid: 1.684, train_acc: 0.955, valid_acc: 0.886
epoch: 77, step: 4042, time: 25.8, train: 1.279, valid: 1.623, train_acc: 0.951, valid_acc: 0.896
epoch: 78, step: 4094, time: 22.9, train: 1.254, valid: 1.678, train_acc: 0.957, valid_acc: 0.886
epoch: 79, step: 4147, time: 24.5, train: 1.255, valid: 1.709, train_acc: 0.957, valid_acc: 0.882
epoch: 80, step: 4200, time: 26.6, train: 1.263, valid: 1.671, train_acc: 0.955, valid_acc: 0.885
epoch: 81, step: 4253, time: 25.1, train: 1.264, valid: 1.594, train_acc: 0.954, valid_acc: 0.897
